name,species
Campaign Manager Morty,Human
Cop Morty,Human
Cop Rick,Human
Rick Sanchez (K-22),Human
Investigator Rick,Human
Rick D. Sanchez III,Human
Cool Rick,Human
Slow Rick,Human
Morty Smith (K-22),Human
Rick Sanchez (J-22),Human
Big Morty,Human
Regional Manager Rick,Human
Simple Rick,Human
Teacher Rick,Human
Rick Sanchez (D716-C),Human
Rick Sanchez (D716),Human
Rick Sanchez (D716-B),Human
Slick Morty,Human
Left-Handed Morty,Human
Bootleg Portal Chemist Rick,Human
Rick Guilt Rick,Human
Reverse Rick Outrage,Human
Garment District Rick,Human
Adjudicator Rick,Human
Plumber Rick,Human
Crop Top Morty,Human
Glasses Morty,Human
Farmer Rick,Human
Lizard Morty,Human
Trunk Morty,Alien
Gordon Lunas,Human
Voltamatron,Alien
Beebo,Alien
Truth Tortoise,Animal
Thomas Lipnip,Human
Kiara,Alien
Pink Sentient Switchblade,Other
Big Morty's Bodyguard Mortys,Human
Gobo,Alien
Mrs. Poopybutthole,Alien
Baby Poopybutthole,Alien
Steve,Human
Presidentress of the Mega Gargantuans,Alien
Trandor,Alien
Joseph Lipnip,Human
Mrs. Lipnip,Human
Tommy's Clone,Clone
Invisi-troopers,Human
Juggling Rick,Human
Zick Zack,Alien
Lizard Rick,Animal
Bulbhead,Alien
Morty Mart Manager Morty,Human
Mortytown Locos,Human
Summer Smith (C-1239),Human
President Jerry,Human
Beth Smith (C-1239),Human
Christina LaCroix (C-1239),Human
Steve Graynor,Human
Fascism-fighting Morty,Human
Sandy,Human
Tom (replacement dimension),Human
Julian Hapsburg,Human
Jerry Smith (Pocket Mortys),Human
Rose,Alien
Dale's Son,Alien
Christina LaCroix (C-131),Human
Tom (Cronenberged dimension),Human
Beth Smith (Cronenberged dimension),Human
Jerry Smith (Cronenberged dimension),Human
Summer Smith (Cronenberged dimension),Human
Jerry Smith (Replacement Dimension),Human
Beth Smith (Replacement Dimension),Human
Summer Smith (Replacement Dimension),Human
Jerry Smith (unnamed dimension),Human
Poñeta,Human
Daphna,Alien
Grace,Human
Nikto,Alien
Garthamor,Alien
Private Sector Rick,Human
Crazy Cat Rick,Human
Bartender Morty,Human
Giant butt-eating Rick,Alien
Giant butt-eating Morty,Alien
Retired General Rick,Human
Rick Sanchez (Goo Monster Target),Human
Morty Smith (Goo Monster Target),Human
Mr. Hapsburg,Human
Red Grin Grumble,Unknown
Guilty Rick,Human
Floopy Doops,Alien
Survivor Rick,Human
Rickstaverse: McGlaargle Issues,Alien
Hawaiian Rick,Human
John Rick,Human
The Kerblin,Mythological
Female Jerry,Human
Female Doofus Rick,Human
Beauty Mark Beth,Human
Wintergreen,Human
Bald Morty,Human
Da%E2%80%99hou Ungherstahnk,Alien
Crystallized Morty,Human
Roy Parsons,Human
Radar Rick,Human
Rick Sanchez (S-223),Human
Mr. Chimney,Alien
Scary Olderson,Alien
Amy,Alien
Cowboy Dancer Morty,Human
Purple Morty,Unknown
Construction Dancer Morty,Human
Waiter Morty,Human
Farmer Rick's Dog,Robot
Jagoff,Alien
Glootie,Alien
Dave,Human
Simulation Morty,Human
Morty Smith (C-594),Human
Masy Kallerax,Alien
Guard Rick,Human
Fancy Rick,Human
Mrs. Spencer,Human
Jerry Smith (D-324),Human
Earring Rick,Human
Summer Smith (S-223),Human
Headband Rick,Human
Ants in my Eyes Morty,Human
Arm Head Mutant Morty,Other
Pants on Head Mutant Morty,Human
Summer Smith (Goldenfold's Dream),Human
Triple Trunks,Alien
Wasp Rick,Human-Animal
Jessica's Grandma,Human
Wasp Beth,Human-Animal
Shrimp Rick,Animal
Wasp Morty,Human-Animal
Shrimp Morty,Animal
Mr. Meeseeks (Kirkland),Other
Teddy Rick,Human-Animal
Mr. Goldenfold (Wasp Universe),Other
Mr. Goldenfold's Larvae,Other
Fascist Morty,Human
Tony,Alien
Judge,Human
Fascist Rick,Human
Wasp Jerry,Human-Animal
Elon Tusk,Human
Fascist Gearhead,Alien
Wasp Summer,Human-Animal
Danny Publitz,Human
Xander,Human
Delivery Drone,Robot
Chang,Human
Balthromaw,Mythological
Vermigurber,Alien
Talking Cat,Animal
Michael (Dragon),Mythological
Poop Jesus,Alien
Tony's Wife,Alien
Jeff,Human
Richard,Human
Maggie,Human
Running Bird,Human
Josiah,Human
Priest Witherspoon,Human
Summer's Girlfriend,Human
Summer's Boyfriend,Human
Truckula,Mythological
Hologram Rick,Other
Hologram Rick (Edge of Tomorty: Rick Die Repeat),Human
Chachi,Alien
Angie Flint,Human
Rule 63 Cosplay Rick,Human
Snake Adolf Hitler,Animal
Ventriloquiver,Other
Hephaestus,Mythological
Heistotron,Robot
Poseidon,Mythological
Eye Patch Rick,Human
Slippy,Animal
Drippy Boy,Other
Goomby,Alien
Jesus Christ,Human
Darth Poopybutthole,Alien
Supreme Guard Ricks,Human
Morty's Girlfriend,Human
Gaia,Other
Ticktock,Mythological
Florflok,Mythological
Squeeb,Mythological
Reggie,Mythological
Space Beth,Clone
Barber Rick,Human
Rebel Doctor,Alien
Josuke Rick,Human
Mr. Nimbus,Mythological
Carmox,Alien
Princess Decoria,Alien
Prince Detrar,Alien
Tickets Please Guy,Human
The Wizard,Human
Robot Soldiers,Robot
Bleph,Alien
Alexandre,Animal
Mario,Alien
Rick (Fortnite),Human
Warlord of Titan,Unknown
Hoovy,Alien
Japheth,Alien
Bova,Alien
Mr. Always Wants To Be Hunted,Alien
Adam,Alien
Planetina,Other
Diesel Weasel,Other
Eddie,Human
Daphne,Alien
Xing Ho,Human
Annika,Human
Naruto Smith,Human
Po%C3%B1eta,Alien
Chud King,Alien
Rick's Foal,Human
Sticky,Alien
Sperm Queen,Alien
Big Fat Rick,Human
Professor Shabooboo,Human
Blazen,Human
Kathy Ireland,Human
Bruce Chutback,Human
Nega-Rick,Human
Alyson Hannigan,Unknown
Kendra,Human
Jodie,Human
Dwayne,Human
Coop,Human
Steve (Mortyplicity),Human
Heroin Keith,Human
Beth Sanchez (C-137),Human
Memory Rick,Human
Delta,Human
Geardude,Alien
Birdperson's Daughter,Human
Mecha Morty (Fortnite),Human
Yo-Yo Rick,Human
Rick Sanchez (C-1.21),Human
Crowscare,Other
Two Crows,Animal
Pussifer,Human-Animal
Harold The Garbage Goober,Unknown
Nick,Human
Morty Smith (C-1.21),Human
Sci-Fi Politician Rick,Human
Killer Droid Rick,Droid
Black Magic Rick,Human
Old God Rick,Other
Ricardo Montoya,Human
Hothead Rick,Human
Little Ricky Wrap-it-up,Human
No-Outline Morty,Human
Dan Guterman Morty,Human
Bandholz Morty,Human
Snake Abraham Lincoln,Animal
The Scientist Known As Rick,Human
Tony Galopagus,Human
Franklin Roosevelt,Human
Sonia Sotomayor,Human
Jerry Smith (C-131),Human
Mr. Goldmanbachmajorian,Human
Marta,Alien
Larry,Alien
President Leland,Alien
Morty Smith (Parmesan Dimension),Human
Beth Smith (Jerry's original dimension),Human
Summer Smith (Jerry's original dimension),Human
Rick Sanchez (Jerry's original dimension),Human
Morty Smith (Jerry's original dimension),Human
Night Summer,Human
Rhett Caan,Other
Jessica (Cronenberged Dimension),Human
Mr. Stringbean,Alien
Pissmaster,Alien
