src,dest
Jerry Smith Prime,Morty Jr.
Jerry Smith Prime,Naruto
Jerry Smith Prime,Diane Sanchez
Jerry Smith Prime,Rick's Father
Jerry Smith Prime,Leonard Smith
Jerry Smith Prime,Joyce Smith
Jerry Smith Prime,Unnamed Uncle
Jerry Smith Prime,Beth
Jacob Philip,Joyce Smith
Jacob Philip,Joyce
Ethan,Summer Smith
Ethan,Tricia Lange
Beth Smith,Space Beth
Beth Smith,Jerry Smith (C-131)
Beth Smith,Jerry Smith
Beth Smith,Summer Smith
Beth Smith,Morty Smith
Beth Smith,Morty Smith (Cronenberged Dimension)
Beth Smith,Leonard Smith
Beth Smith,Joyce Smith
Beth Smith,Hemorrhage
Beth Smith,Morty Jr.
Beth Smith,Naruto Smith
Beth Smith,Rick Sanchez
Beth Smith,Rick Sanchez
Beth Smith,Diane Sanchez
Beth Smith,Rick's Father
Beth Smith,Jerry Smith
Beth Smith,Sleepy Gary
Jessica,Jessica's Grandma
Jessica,Brad
Jessica,Morty Smith
Diane Sanchez,Rick Sanchez
Diane Sanchez,Beth Sanchez
Diane Sanchez,Rick's Father
Brad,Jessica
Leonard Smith,Joyce Smith
Leonard Smith,Uncle Steve
Leonard Smith,Jerry Smith
Leonard Smith,Unnamed Uncle
Leonard Smith,Beth Smith
Leonard Smith,Summer Smith
Leonard Smith,Morty Smith
Leonard Smith,Hemorrhage
Leonard Smith,Gwendolyn
Leonard Smith,Morty Jr.
Leonard Smith,Naruto Smith
Leonard Smith,Joyce
Scary Terry,Melissa
Scary Terry,Scary Brandon
Scary Terry,Melissa
Dale,Rose
Dale,Unnamed Son
Dale,Rose
Morty Jr.,Morty Smith
Morty Jr.,Gwendolyn
Morty Jr.,Jerry Smith
Morty Jr.,Beth Smith
Morty Jr.,Hemorrhage
Morty Jr.,Summer Smith
Morty Jr.,Naruto
Morty Jr.,Leonard Smith
Morty Jr.,Joyce Smith
Morty Jr.,Unnamed Uncle
Morty Jr.,Rick Prime
Morty Jr.,Rick Sanchez
Morty Jr.,Diane Sanchez
Morty Jr.,Rick's Father
Gwendolyn,Morty Jr.
Gwendolyn,Morty Smith
King Flippy Nips,Scroopy Noopers
Scroopy Noopers,King Flippy Nips
Scary Brandon,Scary Terry
Scary Brandon,Melissa
Nancy,Summer Smith
Birdperson,Tammy Guterman
Birdperson,An unnamed daughter
Birdperson,Squanchy
Abrodolph Lincoler,Rick Sanchez
Abrodolph Lincoler,Abraham Lincoln
Abrodolph Lincoler,Adolf Hitler
Scary Melissa,Scary Terry
Scary Melissa,Scary Brandon
Western Rick,Cowgirl Beth
Western Rick,Western Morty
Cronenberg Rick,Cronenberg Morty
Cronenberg Morty,Cronenberg Rick
Tammy Guterman,Pat Guterman
Tammy Guterman,Donna Guterman
Tammy Guterman,Birdperson
Tammy Guterman,unnamed daughter
Jerry Smith (C-500A),Beth Sanchez (C-500A)
Unity,Rick Sanchez
Unity,Beta-Seven
Krombopulos Michael,Amy
Beta-Seven,Unity
Mr. Poopybutthole,Mrs. Poopybutthole
Mr. Poopybutthole,Baby Poopybutthole
Sleepy Gary,Beth Smith
Sleepy Gary,Jerry Smith
Sleepy Gary,Summer Smith
Sleepy Gary,Morty Smith
Sleepy Gary,Rick Sanchez
Sleepy Gary,Mrs. Sanchez
Sleepy Gary,Diane Sanchez
Sleepy Gary,Rick's Father
Sleepy Gary,Hemorrhage
Sleepy Gary,Gwendolyn
Sleepy Gary,Morty Jr.
Sleepy Gary,Beth
Sleepy Gary,Jerry
Rick Sanchez (C-132),Beth Smith
Rick Sanchez (C-132),Jerry Smith
Rick Sanchez (C-132),Summer Smith
Rick Sanchez (C-132),Morty Smith
Steven Smith,Leonard Smith
Steven Smith,Joyce Smith
Steven Smith,Jerry Smith
Steven Smith,Unnamed Uncle
Steven Smith,Beth Smith
Steven Smith,Summer Smith
Steven Smith,Morty Smith
Steven Smith,Hemorrhage
Steven Smith,Gwendolyn
Steven Smith,Morty Jr.
Water-T,Helium-Q
The President,General Nathan
General Nathan,The President
Helium-Q,Ice-T
Morty Smith (C-132),Jerry Smith
Morty Smith (C-132),Beth Smith
Morty Smith (C-132),Summer Smith
Morty Smith (C-132),Rick Sanchez
Hunter,Unnamed Father
Hunter's Father,Hunter
Kyle,Zeep Xanflorp
Western Morty,Western Rick
Western Morty,Cowgirl Beth
Tiny Rick,Rick Sanchez
Cyclops Rick,Cyclops Morty
Cyclops Morty,Cyclops Rick
Robot Morty,Robot Rick
Robot Rick,Robot Morty
Alien Morty,Alien Rick
Alien Rick,Alien Morty
Rick Sanchez (C-131),Mrs. Sanchez
Rick Sanchez (C-131),Beth Smith
Rick Sanchez (C-131),Jerry Smith
Rick Sanchez (C-131),Summer Smith
Rick Sanchez (C-131),Morty Smith
Rick Sanchez (C-131),Hemorrhage
Rick Sanchez (C-131),Mrs. Sanchez
Rick Sanchez (C-131),Unity
Morty Smith (C-131),Jerry Smith
Morty Smith (C-131),Beth Smith
Morty Smith (C-131),Summer Smith
Morty Smith (C-131),Hemorrhage
Morty Smith (C-131),Leonard Smith
Morty Smith (C-131),Joyce Smith
Morty Smith (C-131),Unnamed Uncle
Morty Smith (C-131),Rick Sanchez
Morty Smith (C-131),Mrs. Sanchez
Morty Smith (C-131),Jessica
Morty Smith (C-131),Annie
Evil Beth Clone,Evil Jerry Clone
Evil Beth Clone,Evil Summer Clone
Evil Jerry Clone,Evil Beth Clone
Evil Jerry Clone,Evil Summer Clone
Evil Summer Clone,Evil Jerry Clone
Evil Summer Clone,Evil Beth Clone
Pat Guterman,Donna Guterman
Pat Guterman,Tammy Guterman
Pat Guterman,Birdperson
Donna Guterman,Pat Guterman
Donna Guterman,Tammy Gueterman
Donna Guterman,Birdperson
Paul Fleishman,Beth Smith
Paul Fleishman,Summer Smith
Paul Fleishman,Morty Smith
Paul Fleishman,Rick Sanchez
Beth Sanchez (C-500A),Jerry Smith (C-500A)
Blue Shirt Morty,Yellow Shirt Rick
Johnny Depp,Jerry Smith (C-500A)
Unnamed Uncle,Leonard Smith
Unnamed Uncle,Joyce Smith
Unnamed Uncle,Uncle Steve
Unnamed Uncle,Jerry Smith
Unnamed Uncle,Beth Smith
Unnamed Uncle,Summer Smith
Unnamed Uncle,Morty Smith
Unnamed Uncle,Hemorrhage
Unnamed Uncle,Gwendolyn
Unnamed Uncle,Morty Jr.
Jerry Smith (C-132),Beth Smith
Jerry Smith (C-132),Summer Smith
Jerry Smith (C-132),Morty Smith
Jerry Smith (C-132),Rick Sanchez
Jerry Smith (C-132),Beth
Jerry Smith,Beth Smith (Jerry's original dimension)
Jerry Smith,Beth Smith
Jerry Smith,Space Beth
Jerry Smith,Summer Smith (Jerry's original dimension)
Jerry Smith,Summer Smith
Jerry Smith,Morty Smith (Jerry's original dimension)
Jerry Smith,Morty Smith (Cronenberged Dimension)
Jerry Smith,Naruto Smith
Jerry Smith,Rick Sanchez (Jerry's original dimension)
Jerry Smith,Rick Sanchez
Jerry Smith,Diane Sanchez
Jerry Smith,Rick's Father
Jerry Smith,Hemorrhage
Jerry Smith,Gwendolyn
Jerry Smith,Leonard Smith
Jerry Smith,Joyce Smith
Jerry Smith,Unnamed Uncle
Jerry Smith,Sleepy Gary
Jerry Smith,Kiara
Jerry Smith,Mr. Nimbus
Beth Smith Prime,Jerry Smith
Beth Smith Prime,Summer Smith
Beth Smith Prime,Morty Smith
Beth Smith Prime,Leonard Smith
Beth Smith Prime,Joyce Smith
Beth Smith Prime,Unnamed Uncle
Beth Smith Prime,Rick Prime
Beth Smith Prime,Rick Sanchez
Beth Smith Prime,Mrs. Sanchez
Beth Smith Prime,Rick's Father
Beth Smith Prime,Jerry
Summer Smith Prime,Jerry Smith
Summer Smith Prime,Beth Smith
Summer Smith Prime,Morty Smith
Summer Smith Prime,Leonard Smith
Summer Smith Prime,Joyce Smith
Summer Smith Prime,Unnamed Uncle
Summer Smith Prime,Rick Prime
Summer Smith Prime,Rick Sanchez
Summer Smith Prime,Mrs. Sanchez
Summer Smith Prime,Rick's Father
Summer Smith Prime,Ethan
Summer Smith Prime,Frank Palicky
Rick's Father,Rick Sanchez
Rick's Father,Mrs. Sanchez
Rick's Father,Diane Sanchez
Rick's Father,Beth Smith
Rick's Father,Rick's Foal
Rick's Father,Space Beth
Rick's Father,Jerry Smith
Rick's Father,Summer Smith
Rick's Father,Morty Smith
Rick's Father,Hemorrhage
Rick's Father,Morty Jr.
Gar Gloonch,Zarbadar Gloonch
Zarbadar Gloonch,Gar Gloonch
Zarbadar Gloonch,Gar Gloonch
Yellow Shirt Rick,Blue Shirt Morty
Rick Sanchez (Evil Rick's Target Dimension),Beth Smith
Rick Sanchez (Evil Rick's Target Dimension),Jerry Smith
Rick Sanchez (Evil Rick's Target Dimension),Summer Smith
Rick Sanchez (Evil Rick's Target Dimension),Morty Smith
Morty Smith (Evil Rick's Target Dimension),Jerry Smith
Morty Smith (Evil Rick's Target Dimension),Beth Smith
Morty Smith (Evil Rick's Target Dimension),Summer Smith
Morty Smith (Evil Rick's Target Dimension),Rick Sanchez
Jerry Smith (Evil Rick's Target Dimension),Beth Smith
Jerry Smith (Evil Rick's Target Dimension),Summer Smith
Jerry Smith (Evil Rick's Target Dimension),Morty Smith
Jerry Smith (Evil Rick's Target Dimension),Rick Sanchez
Beth Smith (Evil Rick's Target Dimension),Jerry Smith
Beth Smith (Evil Rick's Target Dimension),Summer Smith
Beth Smith (Evil Rick's Target Dimension),Morty Smith
Beth Smith (Evil Rick's Target Dimension),Rick Sanchez
Summer Smith (Evil Rick's Target Dimension),Jerry Smith
Summer Smith (Evil Rick's Target Dimension),Beth Smith
Summer Smith (Evil Rick's Target Dimension),Morty Smith
Summer Smith (Evil Rick's Target Dimension),Rick Sanchez
Aqua Rick,Fish Morty
Aqua Morty,Fish Rick
Antenna Rick,Antenna Morty
Michael Thompson,Pichael Thompson
Pichael Thompson,Michael Thompson
Summer Smith (C-132),Jerry Smith
Summer Smith (C-132),Beth Smith
Summer Smith (C-132),Morty Smith
Summer Smith (C-132),Rick Sanchez
Beth Smith (C-132),Jerry Smith
Beth Smith (C-132),Summer Smith
Beth Smith (C-132),Morty Smith
Beth Smith (C-132),Rick Sanchez
Beth Smith (C-132),Jerry
Genius Morty,Rick Sanchez
Dumb Rick,Morty Smith
Summer Smith (304-X),Jerry Smith
Summer Smith (304-X),Beth Smith
Summer Smith (304-X),Morty Smith
Jerry Smith (304-X),Beth Smith
Jerry Smith (304-X),Summer Smith
Jerry Smith (304-X),Morty Smith
Jerry Smith (304-X),Beth
Morty Smith (304-X),Jerry Smith
Morty Smith (304-X),Beth Smith
Morty Smith (304-X),Summer Smith
Beth Smith (304-X),Jerry Smith
Beth Smith (304-X),Summer Smith
Beth Smith (304-X),Morty Smith
Beth Smith (304-X),Jerry
Robert,Summer Smith
Cat Rick,Cat Beth
Cat Rick,Cat Morty
Cat Morty,Cat Beth
Cat Morty,Cat Rick
Cat Beth,Cat Morty
Cat Beth,Cat Rick
Cat Beth,Doofus Jerry
Eli,Eli's Girlfriend
Eli,Eli's Girlfriend
Hemorrhage,Summer Smith
Hemorrhage,Jerry Smith
Hemorrhage,Sleepy Gary
Hemorrhage,Beth Smith
Hemorrhage,Morty Smith
Hemorrhage,Morty Smith
Hemorrhage,Gwendolyn
Hemorrhage,Morty Jr.
Hemorrhage,Leonard Smith
Hemorrhage,Joyce Smith
Hemorrhage,Uncle Steve
Hemorrhage,Unnamed Uncle
Hemorrhage,Rick Sanchez
Hemorrhage,Rick Sanchez
Hemorrhage,Diane Sanchez
Hemorrhage,Rick's Father
Hemorrhage,Summer Smith
Eli's Girlfriend,Eli
Eli's Girlfriend,Eli
Eli's Girlfriend,Summer Smith
Mechanical Rick,Rick Sanchez
Mechanical Rick,Mechanical Morty
Mechanical Rick,Mechanical Summer
Mechanical Morty,Rick Sanchez
Mechanical Morty,Mechanical Rick
Mechanical Morty,Mechanical Summer
Mechanical Summer,Rick Sanchez
Mechanical Summer,Mechanical Rick
Mechanical Summer,Mechanical Morty
Genital Washer,Taint Washer
Genital Washer,Lord Henderfinger
Rick Prime,Beth Smith (Cronenberged dimension)
Rick Prime,Morty Smith (Cronenberged dimension)
Rick Prime,Summer Smith (Cronenberged dimension)
Rick Prime,Jerry Smith (Cronenberged dimension)
Rick Prime,Morty Jr.
Rick Prime,Naruto Smith
Jaguar,Katarina
Katarina,Jaguar
Alan Rails,Supernova
Alan Rails,Supernova
Million Ants,Supernova
Million Ants,Supernova
Supernova,Alan Rails
Supernova,Million Ants
Supernova,Alan Rails
Supernova,Million Ants
Risotto Groupon,Jerry Smith
Risotto Groupon,Rick Sanchez
Tricia Lange,Ethan
Toxic Rick,Toxic Morty
Toxic Rick,Rick Sanchez
Toxic Morty,Toxic Rick
Toxic Morty,Morty Smith
Jacqueline,Morty Smith
Rick Sanchez (K-22),Morty Smith (K-22)
Morty Smith (K-22),Rick Sanchez (K-22)
Simple Rick,Diane Sanchez
Simple Rick,Beth
Simple Rick,Diane Sanchez
Thomas Lipnip,Joseph Lipnip
Thomas Lipnip,Mrs. Lipnip
Thomas Lipnip,Tommy's Clone
Kiara,Jerry Smith
Kiara,Trandor
Kiara,Carmox
Kiara,Rick Sanchez
Pink Sentient Switchblade,Beth Smith
Mrs. Poopybutthole,Mr. Poopybutthole
Mrs. Poopybutthole,Baby Poopybutthole
Baby Poopybutthole,Mr. Poopybutthole
Baby Poopybutthole,Mrs. Poopybutthole
Trandor,Kiara
Joseph Lipnip,Mrs. Lipnip
Joseph Lipnip,Thomas Lipnip
Joseph Lipnip,Tommy's Clone
Mrs. Lipnip,Joseph Lipnip
Mrs. Lipnip,Thomas Lipnip
Mrs. Lipnip,Tommy's Clone
Tommy's Clone,Joseph Lipnip
Tommy's Clone,Mrs. Lipnip
Tommy's Clone,Thomas Lipnip
Summer Smith (C-1239),Beth Smith (C-1239)
Summer Smith (C-1239),Christina LaCroix
Beth Smith (C-1239),Summer Smith (C-1239)
Christina LaCroix (C-1239),Summer Smith
Julian Hapsburg,Mr. Hapsburg
Rose,Dale
Rose,Unnamed Son
Rose,Dale
Dale's Son,Dale
Dale's Son,Rose
Grace,Summer Smith
Giant butt-eating Rick,Giant butt-eating Morty
Giant butt-eating Morty,Giant butt-eating Rick
Rick Sanchez (Goo Monster Target),Morty Smith
Morty Smith (Goo Monster Target),Rick Sanchez
Mr. Hapsburg,Julian Hapsburg
Survivor Rick,Survivalist Morty
Beauty Mark Beth,Doofus Jerry
Bald Morty,Fancy Rick
Rick Sanchez (S-223),Summer Smith
Cowgirl Beth,Cowboy Rick
Cowgirl Beth,Cowboy Morty
Healthy Rick,Rick Sanchez
Amy,Krombopulos Michael
Summer Smith (S-223),Rick Sanchez (S-223)
Beth Sanchez (Simple Rick's Dimension),Simple Rick
Wasp Rick,Wasp Beth
Wasp Rick,Wasp Jerry
Wasp Rick,Wasp Morty
Wasp Rick,Wasp Summer
Jessica's Grandma,Jessica
Wasp Beth,Wasp Rick
Wasp Beth,Wasp Jerry
Wasp Beth,Wasp Morty
Wasp Beth,Wasp Summer
Shrimp Rick,Shrimp Morty
Wasp Morty,Wasp Rick
Wasp Morty,Wasp Beth
Wasp Morty,Wasp Jerry
Wasp Morty,Wasp Summer
Shrimp Morty,Shrimp Rick
Mr. Goldenfold (Wasp Universe),Three Unnamed children
Mr. Goldenfold's Larvae,Mr. Goldenfold
Fascist Morty,Fascist Rick
Fascist Rick,Fascist Morty
Wasp Jerry,Wasp Beth
Wasp Jerry,Wasp Summer
Wasp Jerry,Wasp Morty
Wasp Jerry,Wasp Rick
Wasp Jerry,Wasp Beth
Wasp Summer,Wasp Jerry
Wasp Summer,Wasp Beth
Wasp Summer,Wasp Morty
Wasp Summer,Wasp Rick
Danny Publitz,Summer Smith
Hologram Rick (Edge of Tomorty: Rick Die Repeat),Rick
Hephaestus,Zeus
Hephaestus,Rick
Drippy Boy,Rick Sanchez
Darth Poopybutthole,Evil Morty
Morty's Girlfriend,Morty Smith
Gaia,Florflok
Gaia,Ticktock
Gaia,Squeeb
Gaia,Rick Sanchez
Gaia,Reggie
Ticktock,Gaia
Ticktock,Reggie
Ticktock,Florflok
Ticktock,Squeeb
Florflok,Gaia
Florflok,Reggie
Florflok,Tiktok
Florflok,Squeeb
Squeeb,Gaia
Squeeb,Reggie
Squeeb,Tiktok
Squeeb,Florflok
Reggie,Hephaestus
Reggie,Tiktok
Reggie,Florflok
Reggie,Squeeb
Reggie,Gaia
Space Beth,Beth Smith
Space Beth,Jerry Smith
Space Beth,Summer Smith
Space Beth,Morty Smith
Space Beth,Morty Smith (Cronenberged Dimension)
Space Beth,Leonard Smith
Space Beth,Joyce Smith
Space Beth,Hemorrhage
Space Beth,Gwendolyn
Space Beth,Morty Jr.
Space Beth,Naruto Smith
Space Beth,Rick Sanchez
Space Beth,Rick Sanchez
Space Beth,C-137
Space Beth,Diane Sanchez
Space Beth,Rick's Father
Space Beth,Sleepy Gary
Mr. Nimbus,Rick Sanchez
Mr. Nimbus,Jerry Smith
Carmox,Kiara
Princess Decoria,Prince Detrar
Prince Detrar,Princess Decoria
Bleph,Unity
Alexandre,Unity
Mario,Unity
Japheth,Hoovy
Japheth,Bova
Bova,Hoovy
Bova,Japheth
Planetina,Morty Smith
Planetina,Diesel Weasel
Diesel Weasel,Planetina
Naruto Smith,Morty Smith
Naruto Smith,Summer Smith
Naruto Smith,Jerry Smith
Naruto Smith,Jerry Smith (Cronenberged dimension)
Naruto Smith,Jerry Smith (C-131)
Naruto Smith,Beth Smith
Naruto Smith,Space Beth
Naruto Smith,Beth Smith (Cronenberged dimension)
Naruto Smith,Rick's Foal
Naruto Smith,Morty Jr.
Naruto Smith,Rick Sanchez
Naruto Smith,Rick Prime
Naruto Smith,Mrs. Sanchez
Naruto Smith,Leonard Smith
Naruto Smith,Joyce Smith
Naruto Smith,Unnamed Uncle
Naruto Smith,Rick's Father
Naruto Smith,Sticky
Chud King,Poñeta
Chud King,Rick's Foal
Rick's Foal,Rick Sanchez
Rick's Foal,Poñeta
Rick's Foal,Beth Sanchez
Rick's Foal,Beth Smith
Rick's Foal,Space Beth
Rick's Foal,Jerry Smith
Rick's Foal,Jerry Smith (C-131)
Rick's Foal,Morty Smith
Rick's Foal,Summer Smith
Rick's Foal,Morty Jr.
Rick's Foal,Naruto
Rick's Foal,Chud King
Rick's Foal,Rick's Father
Sticky,Sperm Queen
Sticky,Morty Smith
Sticky,Rick Sanchez
Sticky,Jerry Smith
Sticky,Beth Smith
Sticky,Summer Smith
Sticky,Naruto Smith
Sperm Queen,Morty Smith
Sperm Queen,Sticky
Sperm Queen,Rick Sanchez
Sperm Queen,Jerry Smith
Sperm Queen,Beth Smith
Sperm Queen,Summer Smith
Blazen,Kathy Ireland
Kathy Ireland,Blazen
Steve (Mortyplicity),The President
Beth Sanchez (C-137),Rick Sanchez
Beth Sanchez (C-137),Diane Sanchez
Beth Sanchez (C-137),Rick's Father
Beth Sanchez (C-137),Rick's Foal
Geardude,Revolio Clockberg Jr.
Birdperson's Daughter,Birdperson
Birdperson's Daughter,Tammy Guterman
Rick Sanchez (C-1.21),Morty Smith
Nick,Morty Smith
Nick,Rick Sanchez
Morty Smith (C-1.21),Rick Sanchez
Bandholz Morty,Short Shorts Morty
Short Shorts Morty,Bandholz Morty
Jerry Smith (C-131),Beth Smith
Jerry Smith (C-131),Beth Smith (Jerry's original dimension)
Jerry Smith (C-131),Summer Smith
Jerry Smith (C-131),Summer Smith (Jerry's original dimension)
Jerry Smith (C-131),Morty Smith
Jerry Smith (C-131),Morty Smith (Cronenberged Dimension)
Jerry Smith (C-131),Morty Smith (Jerry's original dimension)
Jerry Smith (C-131),Morty Jr.
Jerry Smith (C-131),Naruto Smith
Jerry Smith (C-131),Rick Sanchez
Jerry Smith (C-131),Rick Sanchez
Jerry Smith (C-131),Rick Sanchez (Jerry's original dimension)
Jerry Smith (C-131),Diane Sanchez
Jerry Smith (C-131),Rick's Father
Jerry Smith (C-131),Hemorrhage
Jerry Smith (C-131),Gwendolyn
Jerry Smith (C-131),Leonard Smith
Jerry Smith (C-131),Joyce Smith
Jerry Smith (C-131),Unnamed Uncle
Marta,Larry
Larry,Marta
Beth Smith (Jerry's original dimension),Jerry Smith
Beth Smith (Jerry's original dimension),Jerry Smith (C-131)
Beth Smith (Jerry's original dimension),Summer Smith
Beth Smith (Jerry's original dimension),Morty Smith
Beth Smith (Jerry's original dimension),Rick Sanchez
Summer Smith (Jerry's original dimension),Jerry Smith
Summer Smith (Jerry's original dimension),Jerry Smith (C-131)
Summer Smith (Jerry's original dimension),Beth Smith
Summer Smith (Jerry's original dimension),Morty Smith
Summer Smith (Jerry's original dimension),Rick Sanchez
Rick Sanchez (Jerry's original dimension),Beth Smith
Rick Sanchez (Jerry's original dimension),Jerry Smith
Rick Sanchez (Jerry's original dimension),Jerry Smith (C-131)
Rick Sanchez (Jerry's original dimension),Summer Smith
Rick Sanchez (Jerry's original dimension),Morty Smith
Morty Smith (Jerry's original dimension),Jerry Smith
Morty Smith (Jerry's original dimension),Jerry Smith (C-131)
Morty Smith (Jerry's original dimension),Beth Smith
Morty Smith (Jerry's original dimension),Summer Smith
Morty Smith (Jerry's original dimension),Rick Sanchez
Jessica (Cronenberged Dimension),Jessica's Grandma
